"Year","Bus","Mini_Bus","Crane","Car","Pick_Up","Micro","Tempo","Motorcycle","Tractor","Others",
"1989","4159","2064","8969","24050","0","0","2359","35776","6769","102",
"1990","458","226","800","1893","0","0","856","4954","788","1549",
"1991","413","148","1524","2115","0","0","1207","8154","548","358",
"1992","606","185","1491","2266","0","0","62","7608","262","381",
"1993","1168","77","1740","3049","0","0","154","8653","1396","372",
"1994","850","83","1629","3043","0","0","241","9401","1814","353",
"1995","486","82","1151","5261","0","0","117","13855","2183","58",
"1996","608","175","907","2993","0","0","185","12633","1257","352",
"1997","899","130","1291","4139","0","0","344","12306","1265","51",
"1998","872","19","978","2507","0","0","388","17090","2248","37",
"1999","494","122","829","3647","0","0","789","19755","2542","102",
"2000","1203","250","1271","5152","0","0","232","29291","3519","77",
"2001","868","475","1798","4374","0","0","248","38522","3189","86",
"2002","432","298","1212","2906","581","232","17","29404","2485","43",
"2003","732","237","1477","7079","478","884","16","26547","2191","58",
"2004","753","285","1592","4781","0","584","48","31093","1374","21",
"2005","1528","663","2263","5114","36","66","60","45410","635","0",
"2006","1564","806","3278","5156","736","138","12","72568","2942","1535",
"2007","1419","1179","3594","4741","1588","31","18","69666","3297","206",
"2008","1843","593","3643","6857","1287","128","20","83334","4663","202",
"2009","1888","780","4524","12268","1975","145","9","168707","11460","31",
"2010","1610","1370","1969","8510","3087","115","2","138907","7937","133",
"2011","1016","602","593","5403","1208","61","6","90305","2512","73",
